timestamp,total_carparks,total_lots,lots_available,avg_lots_available
2024-01-11T02:00:00+08:00,2336,730462,331935,142.09546232876713
2024-01-11T03:00:00+08:00,2336,730441,330690,141.5625
2024-01-11T04:00:00+08:00,2336,730985,331986,142.11729452054794
2024-01-11T05:00:00+08:00,2336,730504,338196,144.77568493150685
2024-01-11T06:00:00+08:00,2336,730985,384365,164.5398116438356
2024-01-11T07:00:00+08:00,2336,730441,434163,185.857448630137
2024-01-11T08:00:00+08:00,2336,730429,472544,202.2876712328767
2024-01-11T09:00:00+08:00,2336,729963,484413,207.3685787671233
2024-01-11T10:00:00+08:00,2336,729994,488280,209.02397260273972
2024-01-11T11:00:00+08:00,2336,730429,487853,208.84118150684932
2024-01-11T12:00:00+08:00,2336,730461,482899,206.72046232876713
2024-01-11T13:00:00+08:00,2336,730394,491186,210.2679794520548
2024-01-11T14:00:00+08:00,2336,730427,489672,209.61986301369862
2024-01-11T15:00:00+08:00,2336,730428,487643,208.75128424657535
2024-01-11T16:00:00+08:00,2336,730461,481233,206.00727739726028
2024-01-11T17:00:00+08:00,2336,730461,464614,198.8929794520548
2024-01-11T19:00:00+08:00,2336,729993,402596,172.34417808219177
2024-01-11T20:00:00+08:00,2336,729960,384093,164.42337328767124
2024-01-11T21:00:00+08:00,2336,730035,370127,158.44477739726028
2024-01-11T22:00:00+08:00,2336,730461,354652,151.82020547945206
2024-01-12T00:00:00+08:00,2336,730447,339005,145.12200342465752
2024-01-12T01:00:00+08:00,2336,730884,334917,143.37200342465752
2024-01-12T03:00:00+08:00,2336,730461,331557,141.93364726027397
2024-01-12T04:00:00+08:00,2336,730461,332728,142.43493150684932
2024-01-12T05:00:00+08:00,2336,730726,339293,145.24529109589042
2024-01-12T06:00:00+08:00,2336,731619,383559,164.19477739726028
2024-01-12T07:00:00+08:00,2336,729993,426819,182.71361301369862
2024-01-12T09:00:00+08:00,2336,729960,476893,204.1494006849315
2024-01-12T10:00:00+08:00,2336,730461,482163,206.40539383561645
2024-01-12T11:00:00+08:00,2336,730411,482360,206.48972602739727
2024-01-12T12:00:00+08:00,2336,730411,480764,205.80650684931507
2024-01-12T13:00:00+08:00,2336,730378,489177,209.40796232876713
2024-01-12T15:00:00+08:00,2336,730453,483658,207.04537671232876
2024-01-12T16:00:00+08:00,2336,729985,478583,204.8728595890411
2024-01-12T18:00:00+08:00,2336,729985,441783,189.11943493150685
2024-01-12T19:00:00+08:00,2336,729985,417989,178.93364726027397
2024-01-12T20:00:00+08:00,2336,729962,399737,171.12029109589042
2024-01-12T21:00:00+08:00,2336,730411,387520,165.8904109589041
2024-01-12T22:00:00+08:00,2336,730388,370319,158.5269691780822
2024-01-13T00:00:00+08:00,2336,729943,348839,149.33176369863014
2024-01-13T02:00:00+08:00,2336,730397,340395,145.71703767123287
2024-01-13T03:00:00+08:00,2336,730390,338065,144.71960616438355
2024-01-13T04:00:00+08:00,2336,729943,337663,144.54751712328766
2024-01-13T05:00:00+08:00,2336,731399,342117,146.45419520547946
2024-01-13T06:00:00+08:00,2336,731487,354184,151.61986301369862
2024-01-13T07:00:00+08:00,2336,729943,375037,160.5466609589041
2024-01-13T08:00:00+08:00,2336,729924,398896,170.76027397260273
2024-01-13T09:00:00+08:00,2336,730378,416522,178.3056506849315
2024-01-13T10:00:00+08:00,2336,729943,431252,184.611301369863
2024-01-13T11:00:00+08:00,2336,730411,437733,187.3857020547945
2024-01-13T12:00:00+08:00,2336,730378,437241,187.17508561643837
2024-01-13T13:00:00+08:00,2336,730378,434426,185.97003424657535
2024-01-13T14:00:00+08:00,2336,730380,432307,185.06292808219177
2024-01-13T15:00:00+08:00,2336,730411,430193,184.15796232876713
2024-01-13T16:00:00+08:00,2336,730378,428005,183.22131849315068
2024-01-13T17:00:00+08:00,2336,730411,427767,183.11943493150685
2024-01-13T18:00:00+08:00,2336,729927,421894,180.60530821917808
2024-01-13T19:00:00+08:00,2336,729927,411372,176.10102739726028
2024-01-13T20:00:00+08:00,2336,729910,400846,171.59503424657535
2024-01-13T21:00:00+08:00,2336,730411,389182,166.60188356164383
2024-01-13T22:00:00+08:00,2336,729943,373915,160.06635273972603
2024-01-14T00:00:00+08:00,2336,740576,362803,155.30950342465752
2024-01-14T01:00:00+08:00,2336,739792,355345,152.11686643835617
2024-01-14T02:00:00+08:00,2336,739778,350985,150.25042808219177
2024-01-14T03:00:00+08:00,2336,740237,348947,149.37799657534248
2024-01-14T04:00:00+08:00,2336,740260,347775,148.87628424657535
2024-01-14T05:00:00+08:00,2336,740741,349153,149.46618150684932
2024-01-14T06:00:00+08:00,2336,741855,355979,152.3882705479452
2024-01-14T07:00:00+08:00,2336,739792,364534,156.05051369863014
2024-01-14T08:00:00+08:00,2336,739792,377531,161.6142979452055
2024-01-14T09:00:00+08:00,2336,739776,390410,167.12756849315068
2024-01-14T10:00:00+08:00,2336,739761,404163,173.01498287671234
2024-01-14T12:00:00+08:00,2336,739792,412876,176.74486301369862
2024-01-14T13:00:00+08:00,2336,740260,413132,176.8544520547945
2024-01-14T14:00:00+08:00,2336,740260,412189,176.4507705479452
2024-01-14T15:00:00+08:00,2336,740244,412073,176.40111301369862
2024-01-14T17:00:00+08:00,2336,740227,410466,175.71318493150685
2024-01-14T19:00:00+08:00,2336,740302,396762,169.84674657534248
2024-01-14T20:00:00+08:00,2336,740260,387323,165.8060787671233
2024-01-14T21:00:00+08:00,2336,740227,374775,160.43450342465752
2024-01-14T22:00:00+08:00,2336,739771,361926,154.93407534246575
2024-01-15T00:00:00+08:00,2336,730411,336589,144.08775684931507
2024-01-15T01:00:00+08:00,2336,729943,332402,142.29537671232876
2024-01-15T02:00:00+08:00,2336,729985,330740,141.58390410958904
2024-01-15T05:00:00+08:00,2336,729960,338917,145.08433219178082
2024-01-15T06:00:00+08:00,2336,730742,385610,165.07277397260273
2024-01-15T07:00:00+08:00,2336,730386,434013,185.79323630136986
2024-01-15T08:00:00+08:00,2336,730420,473313,202.61686643835617
2024-01-15T10:00:00+08:00,2336,730453,488176,208.9794520547945
2024-01-15T11:00:00+08:00,2336,729910,485796,207.96061643835617
2024-01-15T12:00:00+08:00,2336,730378,482130,206.39126712328766
2024-01-15T13:00:00+08:00,2336,729962,490314,209.89469178082192
2024-01-15T14:00:00+08:00,2336,729954,489345,209.4798801369863
2024-01-15T16:00:00+08:00,2336,730378,482088,206.37328767123287
2024-01-15T17:00:00+08:00,2336,730411,464736,198.94520547945206
2024-01-15T18:00:00+08:00,2336,730378,431641,184.77782534246575
2024-01-15T19:00:00+08:00,2336,729952,404906,173.3330479452055
2024-01-15T20:00:00+08:00,2336,730420,390406,167.12585616438355
2024-01-15T21:00:00+08:00,2336,729981,380265,162.78467465753425
2024-01-15T22:00:00+08:00,2336,730449,369052,157.9845890410959
2024-01-16T00:00:00+08:00,2336,730449,356834,152.7542808219178
2024-01-16T01:00:00+08:00,2336,730432,353552,151.34931506849315
2024-01-16T02:00:00+08:00,2336,730449,351563,150.4978595890411
2024-01-16T03:00:00+08:00,2336,729981,351339,150.4019691780822
2024-01-16T04:00:00+08:00,2336,729933,352507,150.9019691780822
2024-01-16T05:00:00+08:00,2336,730259,358301,153.38227739726028
2024-01-16T06:00:00+08:00,2336,732027,399161,170.87371575342465
2024-01-16T07:00:00+08:00,2336,730391,441347,188.93279109589042
2024-01-16T08:00:00+08:00,2336,730374,476322,203.90496575342465
2024-01-16T09:00:00+08:00,2336,729950,487046,208.4957191780822
2024-01-16T10:00:00+08:00,2336,729906,491441,210.3771404109589
2024-01-16T11:00:00+08:00,2336,729981,488092,208.94349315068493
2024-01-16T12:00:00+08:00,2336,730374,484857,207.55864726027397
2024-01-16T13:00:00+08:00,2336,729925,492796,210.95719178082192
2024-01-16T14:00:00+08:00,2336,729906,492772,210.94691780821918
2024-01-16T15:00:00+08:00,2336,729906,491117,210.23844178082192
2024-01-16T16:00:00+08:00,2336,729906,485270,207.73544520547946
2024-01-16T18:00:00+08:00,2336,730407,436848,187.0068493150685
2024-01-16T19:00:00+08:00,2336,730433,410770,175.84332191780823
2024-01-16T20:00:00+08:00,2336,730374,395254,169.201198630137
2024-01-16T21:00:00+08:00,2336,730407,385279,164.9310787671233
2024-01-16T22:00:00+08:00,2336,730407,372344,159.39383561643837
2024-01-17T00:00:00+08:00,2336,729914,358653,153.53296232876713
2024-01-17T01:00:00+08:00,2336,729912,355432,152.1541095890411
2024-01-17T02:00:00+08:00,2336,729935,353565,151.3548801369863
2024-01-17T03:00:00+08:00,2336,729939,353593,151.36686643835617
2024-01-17T05:00:00+08:00,2336,730668,361032,154.5513698630137
2024-01-17T06:00:00+08:00,2336,730377,400304,171.36301369863014
2024-01-17T07:00:00+08:00,2336,730449,444632,190.33904109589042
2024-01-17T08:00:00+08:00,2336,729939,479021,205.0603595890411
2024-01-17T09:00:00+08:00,2336,729908,492527,210.84203767123287
2024-01-17T10:00:00+08:00,2336,730384,496033,212.34289383561645
2024-01-17T11:00:00+08:00,2336,730407,493092,211.08390410958904
2024-01-17T12:00:00+08:00,2336,729906,489299,209.4601883561644
2024-01-17T15:00:00+08:00,2336,729924,493992,211.46917808219177
2024-01-17T16:00:00+08:00,2336,728823,488343,209.05094178082192
2024-01-17T17:00:00+08:00,2336,729893,473998,202.91010273972603
2024-01-17T18:00:00+08:00,2336,729893,442086,189.24914383561645
2024-01-17T19:00:00+08:00,2336,729924,415408,177.82876712328766
2024-01-17T22:00:00+08:00,2336,729901,376665,161.2435787671233
2024-01-18T00:00:00+08:00,2336,730390,362940,155.3681506849315
2024-01-18T02:00:00+08:00,2336,729924,356770,152.72688356164383
2024-01-18T03:00:00+08:00,2336,729966,356764,152.72431506849315
2024-01-18T05:00:00+08:00,2336,729956,363638,155.6669520547945
2024-01-18T07:00:00+08:00,2336,729966,445530,190.72345890410958
2024-01-18T08:00:00+08:00,2336,729933,479356,205.20376712328766
2024-01-18T09:00:00+08:00,2336,729943,491005,210.19049657534248
2024-01-18T10:00:00+08:00,2336,730434,495765,212.22816780821918
2024-01-18T11:00:00+08:00,2336,730434,493920,211.43835616438355
2024-01-18T12:00:00+08:00,2336,729966,490112,209.8082191780822
2024-01-18T15:00:00+08:00,2336,729960,496743,212.64683219178082
2024-01-18T16:00:00+08:00,2336,729966,490306,209.89126712328766
2024-01-18T20:00:00+08:00,2336,730434,392254,167.9169520547945
2024-01-18T21:00:00+08:00,2336,730434,378769,162.14426369863014
2024-01-19T01:00:00+08:00,2336,729922,341003,145.9773116438356
2024-01-19T02:00:00+08:00,2336,730422,339296,145.24657534246575
2024-01-19T03:00:00+08:00,2336,730434,339667,145.40539383561645
2024-01-19T04:00:00+08:00,2336,729958,340484,145.75513698630138
2024-01-19T05:00:00+08:00,2336,731093,348119,149.02354452054794
2024-01-19T06:00:00+08:00,2336,731009,391713,167.6853595890411
2024-01-19T07:00:00+08:00,2336,730367,435686,186.50941780821918
2024-01-19T08:00:00+08:00,2336,729899,470498,201.41181506849315
2024-01-19T09:00:00+08:00,2336,729899,483941,207.16652397260273
2024-01-19T10:00:00+08:00,2336,730392,490777,210.09289383561645
2024-01-19T11:00:00+08:00,2336,729893,490784,210.0958904109589
2024-01-19T12:00:00+08:00,2336,730392,488010,208.9083904109589
2024-01-19T13:00:00+08:00,2336,730361,496070,212.35873287671234
2024-01-19T14:00:00+08:00,2336,729924,493793,211.3839897260274
2024-01-19T15:00:00+08:00,2336,729891,492695,210.91395547945206
2024-01-19T16:00:00+08:00,2336,729924,487839,208.8351883561644
2024-01-19T17:00:00+08:00,2336,728606,477158,204.26284246575344
2024-01-19T18:00:00+08:00,2336,729924,451374,193.2251712328767
2024-01-19T19:00:00+08:00,2336,729924,426460,182.55993150684932
2024-01-19T20:00:00+08:00,2336,729924,409185,175.1648116438356
2024-01-19T21:00:00+08:00,2336,730392,396254,169.6292808219178
2024-01-19T22:00:00+08:00,2336,729924,379067,162.27183219178082
2024-01-20T00:00:00+08:00,2336,729924,356273,152.51412671232876
2024-01-20T01:00:00+08:00,2336,730392,350864,150.1986301369863
2024-01-20T02:00:00+08:00,2336,730230,347331,148.68621575342465
2024-01-20T03:00:00+08:00,2336,729924,343790,147.17037671232876
2024-01-20T04:00:00+08:00,2336,729662,344061,147.28638698630138
2024-01-20T05:00:00+08:00,2336,730754,348958,149.38270547945206
